league,season,snapshot_date,club_name,external_club_id,native_club_id,team_type,status,source_url,source_sha256
ITA1,2026/27,2026-09-12,AC Monza,2919,1769533,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,AS Rom,12,1769476,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Atalanta Bergamo,800,1769477,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Cagliari Calcio,1390,1769480,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Como 1907,1047,1769516,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,FC Bologna,1025,1769478,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,FC Turin,416,1769499,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Frosinone Calcio,8970,1769528,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Genua CFC,252,1769510,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
ITA1,2026/27,2026-09-12,Inter Mailand,46,1769481,FIRST,CONFIRMED,https://en.legaseriea.it/serie-a/news/looking-forward-to-the-2026-27-serie-a-fixture-list,0395f45310e6fd7abde7558dd76ba589fd764ddb5be1df9d44e97a1a3b4e151a
