competition_id,club_id,team_type,club,source,source_sha256,status,snapshot_date
352387079,1376431,RESERVE,FC Augsburg,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1376290,FIRST,SV Wacker Burghausen,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1378770,FIRST,TSV Aubstadt,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1384981,FIRST,TSV Schwaben Augsburg,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1376258,RESERVE,1. FC Nürnberg,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1376264,RESERVE,FC Bayern München,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1376441,FIRST,SpVgg Bayreuth,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1376288,RESERVE,SpVgg Greuther Fürth,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1384579,FIRST,TSV Landsberg,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
352387079,1376465,FIRST,SpVgg Ansbach,https://www.bfv.de/mspw/regionalliga-bayern/2026-27/regionalliga-bayern-der-1.-spieltag,58d55992a840a82e384039be2fda33577e9a9ffe01a6cce3d0de7f2d0b0427f2,CONFIRMED,2026-09-12
