competition_id,slot,club_id,team_type,status,source,source_sha256,snapshot_date
117506049,10,458773,FIRST,CONFIRMED,https://www.proleague.be/nieuws/kalender-2026-2027-nieuwkomers-treffen-elkaar-meteen-in-challenger-pro-league,71822f607f818e067fa459ea4a3ee505729232457449dd496e0374af81aecc05,2026-09-12
117506049,11,462979,FIRST,CONFIRMED,https://www.proleague.be/nieuws/kalender-2026-2027-nieuwkomers-treffen-elkaar-meteen-in-challenger-pro-league,71822f607f818e067fa459ea4a3ee505729232457449dd496e0374af81aecc05,2026-09-12
117506049,12,458766,RESERVE,CONFIRMED,https://www.proleague.be/nieuws/kalender-2026-2027-nieuwkomers-treffen-elkaar-meteen-in-challenger-pro-league,71822f607f818e067fa459ea4a3ee505729232457449dd496e0374af81aecc05,2026-09-12
117506049,13,458822,FIRST,CONFIRMED,https://www.proleague.be/nieuws/kalender-2026-2027-nieuwkomers-treffen-elkaar-meteen-in-challenger-pro-league,71822f607f818e067fa459ea4a3ee505729232457449dd496e0374af81aecc05,2026-09-12
117506049,14,458768,RESERVE,CONFIRMED,https://www.proleague.be/nieuws/kalender-2026-2027-nieuwkomers-treffen-elkaar-meteen-in-challenger-pro-league,71822f607f818e067fa459ea4a3ee505729232457449dd496e0374af81aecc05,2026-09-12
117506049,15,458753,RESERVE,CONFIRMED,https://www.proleague.be/nieuws/kalender-2026-2027-nieuwkomers-treffen-elkaar-meteen-in-challenger-pro-league,71822f607f818e067fa459ea4a3ee505729232457449dd496e0374af81aecc05,2026-09-12
117506050,1,458786,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,2,471796,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,3,471094,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
117506050,4,471091,FIRST,CONFIRMED,https://www.proleague.be/nieuws/geen-proflicentie-voor-rwdm-club-nxt-verzekert-behoud,e66a19343c55ad0f884886cec62931c54419129fb72b1d6c870fc610d2c0968e,2026-09-12
