competition_id,club_id,team_type
117506048,458755,FIRST
117506048,458756,FIRST
117506048,458753,FIRST
117506048,458768,FIRST
117506048,458781,FIRST
117506048,458787,FIRST
117506048,458763,FIRST
117506048,458783,FIRST
117506048,458775,FIRST
117506048,471041,FIRST
117506048,458766,FIRST
117506048,458785,FIRST
117506048,458761,FIRST
117506048,458788,FIRST
117506048,458760,FIRST
117506048,458780,FIRST
117506048,458759,FIRST
117506048,458782,FIRST
117506049,458756,RESERVE
117506049,458795,FIRST
117506049,458768,RESERVE
117506049,458753,RESERVE
117506049,458802,FIRST
117506049,462931,FIRST
117506049,458773,FIRST
117506049,462858,FIRST
117506049,458793,FIRST
117506049,458801,FIRST
117506049,458822,FIRST
117506049,458772,FIRST
117506049,462979,FIRST
117506049,458766,RESERVE
117506049,462867,FIRST
