league,club,player,player_tm_id,fm_id,native_club_id,target_club_id,native_loan_enabled,native_loan_owner_club_id,native_loan_start,native_loan_end,protected_conditions_sha256,future_conditions_sha256,profile_joined,profile_contract_until,profile_loan_owner_tm_id,profile_owner_contract_until,event_types,event_dates,blocker_category,disposition,source,source_sha256,snapshot_date
TUR1,Kocaelispor,Mahamadou Susoho,895074,288463,2752522,3145754,1,917518,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-31,2028-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/mahamadou-susoho/profil/spieler/895074,f02b854de94c20048d1b3438b29b03fe8f8b8fa179f1089000c4bb74fb034c19,2026-09-12
GER3,SSV Jahn Regensburg,John Posselt,918130,268481,1376539,1376436,1,1376421,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-08,2027-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/john-posselt/profil/spieler/918130,3812a847ae4e3d9fb2b2949aaeeab2a7e47260c47bec635ff57b7ae3615f2e94,2026-09-12
ESP1,Racing Santander,Jeanuël Belocian,919515,277070,1376261,2949137,0,0,,,86d2095e08c4eeef1fad3fc0fa59741f3ce9def0531793a64f3e50623f5acc17,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-09-01,2027-06-30,15,2029-06-30,LOAN | LOAN_RETURN,2026-06-30,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/jeanuel-belocian/profil/spieler/919515,8502e19cbe96725c9e9d0424f59c3f95ba4506fd8c390f297058a1ca1fdb6b8a,2026-09-12
FRA1,FC Le Mans,Lucas Bretelle,941561,236277,471041,1179682,0,0,,,98cedbe7a683a437cd5365893c7155a3906e4dd3a1eb08ba090304a9e1adbdd9,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-02,2029-06-30,,,,,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/lucas-bretelle/profil/spieler/941561,5475241878a66eeb67c3185663635fa6277c400968e40461bf33b3b51cea3776,2026-09-12
ITA1,US Lecce,Milos Jovic,943473,269972,3354941,1769483,1,3355005,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2025-08-28,2029-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/milos-jovic/profil/spieler/943473,b105c636c2a21486be0a73a5851fe252ff08f4f39814b83d477288d6ade98a85,2026-09-12
ITA1,AC Mailand,Alphadjo Cissè,964087,291875,1769513,1769474,1,1769496,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-02-02,2030-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/alphadjo-cisse/profil/spieler/964087,7213ced3f0366eb42d56766d75993a90dc1a8087ee3a093ddc7ae2a91e47d133,2026-09-12
BEL1,Royal Charleroi SC,Triston Rowe,984593,280015,1193182,458761,1,917506,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-09-01,2027-06-30,12124,,LOAN,,OWNER_CONTRACT_END_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/triston-rowe/profil/spieler/984593,b31f2c201126df608b635e98783cf4fdef8ae0085b709db84bdd008b5dce87c2,2026-09-12
CZE1,FC Banik Ostrau,Filip Sancl,1045167,11574,790538,786446,1,786441,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-16,2029-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/filip-sancl/profil/spieler/1045167,47e3471f397d9a3003cad87258342277e3834b6048f846473a745791ea852021,2026-09-12
ESP1,UD Levante,Thiago Fernández,1127730,212122,3407878,2949128,0,0,,,cbdffe7b7c1888f19e927925dce9429b9d2ce1ba8a461c894c77382fdb8cb3b2,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-08-11,2027-06-30,1050,2031-06-30,LOAN_RETURN | LOAN,2026-06-30,NATIVE_CONDITION_TYPE_NOT_EXPORTED,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/thiago-fernandez/profil/spieler/1127730,188257f9df747ba73dd6972c064ae250132b2462589378e71b28c31e5f273e22,2026-09-12
CZE1,SK Artis Brünn,Emmanuel Fully,1174744,295816,786441,790564,1,7999502,01.01.2025,31.12.2025,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-07-26,2027-06-30,6541,2029-06-30,LOAN_RETURN | LOAN,2026-06-30,OWNER_NATIVE_MAPPING_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/emmanuel-fully/profil/spieler/1174744,4222509c2acc73a339f098d03233538835a379f4ba75e55abeff0837dfe2b5a8,2026-09-12
ENG1,Sunderland,Jocelin Ta Bi,1322090,114549,1703940,917524,1,1703944,01.07.2025,30.06.2026,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,9a271f2a916b0b6ee6cecb2426f0b3206ef074578be55d9bc94f6f3fe3ab86aa,2026-01-16,2030-06-30,,,,,CURRENT_OWNER_OR_TERMINAL_EVENT_UNPROVEN,HOLD_NO_SAFE_NATIVE_MUTATION,https://www.transfermarkt.de/jocelin-ta-bi/profil/spieler/1322090,868f5a24b64cc4ca0587cbee02a25531be08e6ed8541592fd522eabc32743117,2026-09-12
